chapter,topic,script,flags,input,notes
biochemistry,topic01,{bp_root}/biochemistry-problems/PUBCHEM/which_macromolecule.py,,,
biochemistry,topic01,{bp_root}/biochemistry-problems/which_hydrophobic-simple.py,,,
biochemistry,topic01,YMATCH,,macromolecules.yml,
biochemistry,topic02,{bp_root}/biochemistry-problems/buffers/optimal_buffering_range.py,,,
biochemistry,topic02,{bp_root}/biochemistry-problems/buffers/pKa_buffer_state.py,--protons 2,,
biochemistry,topic02,{bp_root}/biochemistry-problems/buffers/pKa_buffer_state.py,--protons 3,,
biochemistry,topic02,{bp_root}/biochemistry-problems/buffers/pKa_buffer_state.py,--protons 4,,
biochemistry,topic02,{bp_root}/biochemistry-problems/Henderson-Hasselbalch.py,--equation,,
biochemistry,topic02,{bp_root}/biochemistry-problems/Henderson-Hasselbalch.py,--mc --pH,,
biochemistry,topic02,{bp_root}/biochemistry-problems/Henderson-Hasselbalch.py,--num --pH,,
biochemistry,topic02,{bp_root}/biochemistry-problems/Henderson-Hasselbalch.py,--mc --pKa,,
biochemistry,topic02,{bp_root}/biochemistry-problems/Henderson-Hasselbalch.py,--num --pKa,,
biochemistry,topic02,{bp_root}/biochemistry-problems/Henderson-Hasselbalch.py,--mc --ratio,,
biochemistry,topic02,{bp_root}/biochemistry-problems/Henderson-Hasselbalch.py,--num --ratio,,
biochemistry,topic03,{bp_root}/biochemistry-problems/PUBCHEM/polypeptide_mc_sequence.py,--easy,,
biochemistry,topic03,{bp_root}/biochemistry-problems/PUBCHEM/polypeptide_mc_sequence.py,--medium,,
biochemistry,topic03,{bp_root}/biochemistry-problems/PUBCHEM/polypeptide_mc_sequence.py,--rigorous,,
biochemistry,topic03,{bp_root}/biochemistry-problems/PUBCHEM/which_amino_acid.py,--mc,,
biochemistry,topic03,{bp_root}/biochemistry-problems/PUBCHEM/which_amino_acid.py,--fib,,
biochemistry,topic03,YMATCH,,amino_acids.yml,
biochemistry,topic04,{bp_root}/biochemistry-problems/alpha_helix_h-bonds.py,--mc,,
biochemistry,topic04,{bp_root}/biochemistry-problems/alpha_helix_h-bonds.py,--ma,,
biochemistry,topic04,{bp_root}/biochemistry-problems/ionic_bond_amino_acids.py,,,
biochemistry,topic04,YMATCH,,levels_of_protein_structure.yml,
biochemistry,topic05,{bp_root}/biochemistry-problems/isoelectric_one_protein.py,,,
biochemistry,topic05,{bp_root}/biochemistry-problems/isoelectric_two_proteins.py,,,
biochemistry,topic05,{bp_root}/biochemistry-problems/protein_gel_migration.py,--mc,,
biochemistry,topic05,{bp_root}/biochemistry-problems/protein_gel_migration.py,--num,,
biochemistry,topic05,YMATCH,,cell_disruption.yml,
biochemistry,topic05,YMATCH,,chromatography.yml,
biochemistry,topic05,YMATCH,,protein_v_dna_gels.yml,
biochemistry,topic06,YMCS,,chemical_reactions.yml,
biochemistry,topic06,YMCS,,gibbs_free_energy_equation.yml,
biochemistry,topic06,YMCS,,thermodynamics.yml,
biochemistry,topic06,YMATCH,,energy_terms.yml,
biochemistry,topic07,{bp_root}/biochemistry-problems/metabolic_pathway_inhibitor.py,--biol301,,
biochemistry,topic07,{bp_root}/biochemistry-problems/metabolic_pathway_inhibitor.py,--bchm355,,
biochemistry,topic07,{bp_root}/biochemistry-problems/michaelis_menten_table-inhibition.py,,,
biochemistry,topic07,{bp_root}/biochemistry-problems/michaelis_menten_table-Km.py,,,
biochemistry,topic07,YMCS,,enzyme_equilibrium.yml,
biochemistry,topic07,YMCS,,m-m_kinetics.yml,
biochemistry,topic07,YMCS,,enzyme_cofactors.yml,
biochemistry,topic07,YMCS,,which_enzyme.yml,
biochemistry,topic07,YMATCH,,enzyme_terminology.yml,
biochemistry,topic08,{bp_root}/biochemistry-problems/metabolic_pathway_allosteric.py,,,
biochemistry,topic09,{bp_root}/biochemistry-problems/carbohydrates_classification/classify_Fischer.py,,,
biochemistry,topic09,{bp_root}/biochemistry-problems/carbohydrates_classification/classify_Haworth.py,--furan,,
biochemistry,topic09,{bp_root}/biochemistry-problems/carbohydrates_classification/classify_Haworth.py,--pyran,,
biochemistry,topic09,{bp_root}/biochemistry-problems/carbohydrates_classification/D_to_L_Fischer_configuration.py,,,
biochemistry,topic09,{bp_root}/biochemistry-problems/carbohydrates_classification/D_to_L_Haworth_configuration.py,,,
biochemistry,topic09,YMMS,,polysaccharides.yml,
biochemistry,topic09,YMATCH,,polysaccharides.yml,
biochemistry,topic09,{bp_root}/biochemistry-problems/carbohydrates_classification/convert_Haworth_to_Fischer.py,--furan,,script not found
biochemistry,topic09,{bp_root}/biochemistry-problems/carbohydrates_classification/convert_Haworth_to_Fischer.py,--pyran,,
biochemistry,topic09,{bp_root}/biochemistry-problems/carbohydrates_classification/convert_Fischer_to_Haworth.py,--furan,,script not found
biochemistry,topic09,{bp_root}/biochemistry-problems/carbohydrates_classification/convert_Fischer_to_Haworth.py,--pyran,,
genetics,topic01,{bp_root}/molecular_biology-problems/beadle_tatum-metabolic_pathway.py,,,
genetics,topic01,YMMS,,genetic_disorders.yml,
genetics,topic01,YMMS,,genetics_terminology.yml,
genetics,topic01,YMATCH,,genetic_disorders.yml,
genetics,topic01,YMATCH,,genetics_terminology.yml,
genetics,topic02,{bp_root}/molecular_biology-problems/chargaff_dna_percent.py,-c 5,,
genetics,topic02,{bp_root}/molecular_biology-problems/complementary_sequences.py,--mc --directionless,,
genetics,topic02,{bp_root}/molecular_biology-problems/complementary_sequences.py,--mc --prime,,
genetics,topic02,YMCS,,dna_structure-biol_351.yml,
genetics,topic02,YMCS,,nucleotide_components.yml,
genetics,topic03,{bp_root}/dna_profiling-problems/blood_type_agglutination_test.py,,,
genetics,topic03,{bp_root}/dna_profiling-problems/hla_genotype.py,-n 2 --bw,,
genetics,topic03,{bp_root}/dna_profiling-problems/hla_genotype.py,-n 3 --color,,
genetics,topic03,{bp_root}/dna_profiling-problems/who_father_html.py,--easy -c 3,,
genetics,topic03,{bp_root}/dna_profiling-problems/who_father_html.py,--hard -c 9,,
genetics,topic03,{bp_root}/dna_profiling-problems/who_father_html.py,--medium -c 5,,
genetics,topic03,{bp_root}/dna_profiling-problems/who_killer_html.py,--easy -c 4,,
genetics,topic03,{bp_root}/dna_profiling-problems/who_killer_html.py,--hard -c 9,,
genetics,topic03,{bp_root}/dna_profiling-problems/who_killer_html.py,--medium -c 5,,
genetics,topic03,{bp_root}/molecular_biology-problems/linear_digest.py,-n 10 -s 3 --strand,,
genetics,topic03,{bp_root}/molecular_biology-problems/linear_digest.py,-n 13 -s 3 --fragment,,
genetics,topic03,{bp_root}/molecular_biology-problems/linear_digest.py,-n 16 -s 4 --strand,,
genetics,topic03,{bp_root}/molecular_biology-problems/linear_digest.py,-n 8 -s 2 --fragment,,
genetics,topic03,{bp_root}/molecular_biology-problems/overhang_sequence.py,--mc -c 6,,
genetics,topic03,{bp_root}/molecular_biology-problems/overhang_type.py,--end-type,,
genetics,topic03,{bp_root}/molecular_biology-problems/overhang_type.py,--overhang-type,,
genetics,topic03,{bp_root}/molecular_biology-problems/palindrome_sequence_match.py,,,
genetics,topic03,YMCS,,english_palindromes.yml,
genetics,topic04,{bp_root}/inheritance-problems/monohybrid_genotype_statements.py,,,
genetics,topic04,{bp_root}/inheritance-problems/punnett_choice.py,,,
genetics,topic04,YMMS,,mendel_cross_terminology.yml,
genetics,topic04,YMMS,,mendel_four_principles.yml,
genetics,topic04,YMMS,,mendelian_genetics_terms.yml,
genetics,topic04,YMMS,,monohybrid_cross_genotype.yml,
genetics,topic04,YMATCH,,mendel_cross_terminology.yml,
genetics,topic04,YMATCH,,mendel_four_principles.yml,
genetics,topic04,YMATCH,,mendelian_genetics_terms.yml,
genetics,topic04,YMATCH,,monohybrid_cross_genotype.yml,
genetics,topic05,{bp_root}/inheritance-problems/blood_type_mother.py,,,
genetics,topic05,{bp_root}/inheritance-problems/blood_type_offspring.py,,,
genetics,topic05,{bp_root}/inheritance-problems/dihybrid_cross_epistatic_gene_interactions.py,-c 4,,
genetics,topic05,{bp_root}/inheritance-problems/dihybrid_cross_epistatic_gene_metabolics.py,-c 4,,
genetics,topic05,{bp_root}/inheritance-problems/epistasis_test_cross.py,--forward -c 4,,
genetics,topic05,{bp_root}/inheritance-problems/epistasis_test_cross.py,--inverse -c 4,,
genetics,topic05,{bp_root}/inheritance-problems/monohybrid_degrees_of_dominance.py,,,
genetics,topic05,{bp_root}/inheritance-problems/monohybrid_genotype_statements.py,,,
genetics,topic05,{bp_root}/inheritance-problems/unique_cross_genotypes.py,--with-hint -n 6,,
genetics,topic05,{bp_root}/inheritance-problems/unique_cross_phenotypes.py,--with-hint -n 6,,
genetics,topic05,{bp_root}/inheritance-problems/unique_gametes.py,--with-hint -n 7,,
genetics,topic05,YMMS,,monohybrid_cross_genotype.yml,
genetics,topic05,YMATCH,,monohybrid_cross_genotype.yml,
genetics,topic06,{bp_root}/inheritance-problems/dominant_and_X-linked_recessive.py,,,
genetics,topic06,{bp_root}/inheritance-problems/poisson_flies.py,,,
genetics,topic06,{bp_root}/inheritance-problems/probabiliy_of_progeny.py,,,
