MC	<p>0545_ee44</p> <div id="drv_c615" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><p>Which one<span style='font-size: 1px; color: white;'>kinds</span>of<span style='font-size: 1px; color: white;'>wall</span>the following<span style='font-size: 1px; color: white;'>smart</span>types of macromolecules correspond to the<span style='font-size: 1px; color: white;'>dental</span>macromolecule <span style='font-size: 1em;'><strong>'hemoglobin'</strong></span>.</p> </div>	<div id="drv_a73e" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. <strong><span style="color: #0039e6;">carbohydrates</span></strong><span style='font-size: 1px; color: white;'>joined</span></div>	Incorrect	<div id="drv_da3d" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. <strong><span style="color: #e65400;">lipids</span></strong><span style='font-size: 1px; color: white;'>design</span></div>	Incorrect	<div id="drv_2c98" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. <strong><span style="color: #b30077;">nucleic<span style='font-size: 1px; color: white;'>dental</span>acids</span></strong><span style='font-size: 1px; color: white;'>allow</span></div>	Incorrect	<div id="drv_7c2d" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. <strong><span style="color: #009900;">proteins</span></strong><span style='font-size: 1px; color: white;'>turner</span></div>	Correct
MC	<p>08de_ee44</p> <div id="drv_d3bb" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><p>Which<span style='font-size: 1px; color: white;'>never</span>one<span style='font-size: 1px; color: white;'>sip</span>of<span style='font-size: 1px; color: white;'>ssu</span>the following<span style='font-size: 1px; color: white;'>also</span>types<span style='font-size: 1px; color: white;'>thus</span>of macromolecules<span style='font-size: 1px; color: white;'>seed</span>correspond<span style='font-size: 1px; color: white;'>clear</span>to<span style='font-size: 1px; color: white;'>aids</span>the<span style='font-size: 1px; color: white;'>bell</span>macromolecule <span style='font-size: 1em;'><strong>'glutamine'</strong></span>.</p><span style='font-size: 1px; color: white;'>atp</span></div>	<div id="drv_6255" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. <strong><span style="color: #0039e6;">carbohydrates</span></strong><span style='font-size: 1px; color: white;'>favor</span></div>	Incorrect	<div id="drv_e9d6" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. <strong><span style="color: #e65400;">lipids</span></strong><span style='font-size: 1px; color: white;'>areas</span></div>	Incorrect	<div id="drv_5e2c" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. <strong><span style="color: #b30077;">nucleic<span style='font-size: 1px; color: white;'>help</span>acids</span></strong><span style='font-size: 1px; color: white;'>sweet</span></div>	Incorrect	<div id="drv_f020" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. <strong><span style="color: #009900;">proteins</span></strong> </div>	Correct
MC	<p>09b7_ee44</p> <div id="drv_00a6" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><p>Which<span style='font-size: 1px; color: white;'>mixed</span>one<span style='font-size: 1px; color: white;'>your</span>of<span style='font-size: 1px; color: white;'>adopts</span>the following<span style='font-size: 1px; color: white;'>would</span>types of macromolecules<span style='font-size: 1px; color: white;'>fibers</span>correspond<span style='font-size: 1px; color: white;'>aug</span>to the<span style='font-size: 1px; color: white;'>spins</span>macromolecule <span style='font-size: 1em;'><strong>'adenosine<span style='font-size: 1px; color: white;'>non</span>triphosphate'</strong></span>.</p> </div>	<div id="drv_9091" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. <strong><span style="color: #0039e6;">carbohydrates</span></strong><span style='font-size: 1px; color: white;'>basis</span></div>	Incorrect	<div id="drv_1a64" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. <strong><span style="color: #e65400;">lipids</span></strong> </div>	Incorrect	<div id="drv_e5d7" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. <strong><span style="color: #b30077;">nucleic acids</span></strong><span style='font-size: 1px; color: white;'>truthe</span></div>	Correct	<div id="drv_12b3" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. <strong><span style="color: #009900;">proteins</span></strong><span style='font-size: 1px; color: white;'>bursts</span></div>	Incorrect
MC	<p>0aaf_ee44</p> <div id="drv_4de1" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><p>Which<span style='font-size: 1px; color: white;'>ceo</span>one<span style='font-size: 1px; color: white;'>spins</span>of the following<span style='font-size: 1px; color: white;'>anemia</span>types<span style='font-size: 1px; color: white;'>dstain</span>of<span style='font-size: 1px; color: white;'>cyan</span>macromolecules<span style='font-size: 1px; color: white;'>sample</span>correspond<span style='font-size: 1px; color: white;'>heart</span>to<span style='font-size: 1px; color: white;'>fused</span>the<span style='font-size: 1px; color: white;'>things</span>macromolecule <span style='font-size: 1em;'><strong>'fatty acids'</strong></span>.</p><span style='font-size: 1px; color: white;'>dctp</span></div>	<div id="drv_a20b" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. <strong><span style="color: #0039e6;">carbohydrates</span></strong> </div>	Incorrect	<div id="drv_3635" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. <strong><span style="color: #e65400;">lipids</span></strong><span style='font-size: 1px; color: white;'>bform</span></div>	Correct	<div id="drv_755b" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. <strong><span style="color: #b30077;">nucleic acids</span></strong><span style='font-size: 1px; color: white;'>life</span></div>	Incorrect	<div id="drv_b092" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. <strong><span style="color: #009900;">proteins</span></strong><span style='font-size: 1px; color: white;'>dollop</span></div>	Incorrect
MC	<p>0aaf_ee44</p> <div id="drv_6c78" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><p>Which<span style='font-size: 1px; color: white;'>early</span>one<span style='font-size: 1px; color: white;'>sets</span>of<span style='font-size: 1px; color: white;'>wide</span>the following<span style='font-size: 1px; color: white;'>pectin</span>types<span style='font-size: 1px; color: white;'>mates</span>of<span style='font-size: 1px; color: white;'>xray</span>macromolecules<span style='font-size: 1px; color: white;'>closer</span>correspond to<span style='font-size: 1px; color: white;'>degc</span>the macromolecule <span style='font-size: 1em;'><strong>'fatty acids'</strong></span>.</p><span style='font-size: 1px; color: white;'>esite</span></div>	<div id="drv_e5b0" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. <strong><span style="color: #0039e6;">carbohydrates</span></strong> </div>	Incorrect	<div id="drv_cbd3" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. <strong><span style="color: #e65400;">lipids</span></strong> </div>	Correct	<div id="drv_1254" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. <strong><span style="color: #b30077;">nucleic<span style='font-size: 1px; color: white;'>idea</span>acids</span></strong> </div>	Incorrect	<div id="drv_25fa" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. <strong><span style="color: #009900;">proteins</span></strong> </div>	Incorrect
MC	<p>1df3_ee44</p> <div id="drv_fa66" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><p>Which<span style='font-size: 1px; color: white;'>dhea</span>one<span style='font-size: 1px; color: white;'>plots</span>of<span style='font-size: 1px; color: white;'>inside</span>the<span style='font-size: 1px; color: white;'>file</span>following types<span style='font-size: 1px; color: white;'>etest</span>of<span style='font-size: 1px; color: white;'>leaven</span>macromolecules<span style='font-size: 1px; color: white;'>found</span>correspond to<span style='font-size: 1px; color: white;'>death</span>the<span style='font-size: 1px; color: white;'>shaft</span>macromolecule <span style='font-size: 1em;'><strong>'lanolin<span style='font-size: 1px; color: white;'>name</span>or wool wax &ndash; secreted<span style='font-size: 1px; color: white;'>pest</span>by<span style='font-size: 1px; color: white;'>site</span>the<span style='font-size: 1px; color: white;'>cooh</span>sebaceous<span style='font-size: 1px; color: white;'>seeds</span>glands<span style='font-size: 1px; color: white;'>treat</span>of sheep'</strong></span>.</p><span style='font-size: 1px; color: white;'>drugs</span></div>	<div id="drv_9929" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. <strong><span style="color: #0039e6;">carbohydrates</span></strong> </div>	Incorrect	<div id="drv_c285" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. <strong><span style="color: #e65400;">lipids</span></strong><span style='font-size: 1px; color: white;'>year</span></div>	Correct	<div id="drv_3d77" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. <strong><span style="color: #b30077;">nucleic<span style='font-size: 1px; color: white;'>while</span>acids</span></strong><span style='font-size: 1px; color: white;'>world</span></div>	Incorrect	<div id="drv_76ab" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. <strong><span style="color: #009900;">proteins</span></strong><span style='font-size: 1px; color: white;'>pain</span></div>	Incorrect
MC	<p>1df3_ee44</p> <div id="drv_fb17" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><p>Which one<span style='font-size: 1px; color: white;'>merge</span>of<span style='font-size: 1px; color: white;'>mucus</span>the<span style='font-size: 1px; color: white;'>equiv</span>following types<span style='font-size: 1px; color: white;'>wax</span>of<span style='font-size: 1px; color: white;'>birds</span>macromolecules correspond to<span style='font-size: 1px; color: white;'>chief</span>the<span style='font-size: 1px; color: white;'>means</span>macromolecule <span style='font-size: 1em;'><strong>'lanolin or<span style='font-size: 1px; color: white;'>exon</span>wool wax &ndash; secreted<span style='font-size: 1px; color: white;'>falsei</span>by the sebaceous glands of sheep'</strong></span>.</p><span style='font-size: 1px; color: white;'>camp</span></div>	<div id="drv_2abb" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. <strong><span style="color: #0039e6;">carbohydrates</span></strong><span style='font-size: 1px; color: white;'>primer</span></div>	Incorrect	<div id="drv_a3cb" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. <strong><span style="color: #e65400;">lipids</span></strong><span style='font-size: 1px; color: white;'>oil</span></div>	Correct	<div id="drv_a3ec" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. <strong><span style="color: #b30077;">nucleic<span style='font-size: 1px; color: white;'>lac</span>acids</span></strong><span style='font-size: 1px; color: white;'>dough</span></div>	Incorrect	<div id="drv_3fc6" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. <strong><span style="color: #009900;">proteins</span></strong><span style='font-size: 1px; color: white;'>impact</span></div>	Incorrect
MC	<p>1e1d_ee44</p> <div id="drv_6922" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><p>Which<span style='font-size: 1px; color: white;'>bubble</span>one of<span style='font-size: 1px; color: white;'>xenon</span>the<span style='font-size: 1px; color: white;'>thiol</span>following types<span style='font-size: 1px; color: white;'>after</span>of<span style='font-size: 1px; color: white;'>anova</span>macromolecules<span style='font-size: 1px; color: white;'>sugars</span>correspond<span style='font-size: 1px; color: white;'>tree</span>to the<span style='font-size: 1px; color: white;'>porous</span>macromolecule <span style='font-size: 1em;'><strong>'chitin'</strong></span>.</p> </div>	<div id="drv_8b75" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. <strong><span style="color: #0039e6;">carbohydrates</span></strong> </div>	Correct	<div id="drv_3ca7" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. <strong><span style="color: #e65400;">lipids</span></strong><span style='font-size: 1px; color: white;'>chi</span></div>	Incorrect	<div id="drv_bbc3" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. <strong><span style="color: #b30077;">nucleic acids</span></strong><span style='font-size: 1px; color: white;'>exists</span></div>	Incorrect	<div id="drv_d02e" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. <strong><span style="color: #009900;">proteins</span></strong><span style='font-size: 1px; color: white;'>inside</span></div>	Incorrect
MC	<p>1e1d_ee44</p> <div id="drv_7951" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><p>Which<span style='font-size: 1px; color: white;'>page</span>one<span style='font-size: 1px; color: white;'>gtp</span>of<span style='font-size: 1px; color: white;'>copies</span>the following<span style='font-size: 1px; color: white;'>chief</span>types<span style='font-size: 1px; color: white;'>fully</span>of<span style='font-size: 1px; color: white;'>mortar</span>macromolecules<span style='font-size: 1px; color: white;'>proton</span>correspond<span style='font-size: 1px; color: white;'>ends</span>to the macromolecule <span style='font-size: 1em;'><strong>'chitin'</strong></span>.</p><span style='font-size: 1px; color: white;'>rates</span></div>	<div id="drv_5e46" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. <strong><span style="color: #0039e6;">carbohydrates</span></strong><span style='font-size: 1px; color: white;'>acted</span></div>	Correct	<div id="drv_6b7e" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. <strong><span style="color: #e65400;">lipids</span></strong> </div>	Incorrect	<div id="drv_8e7e" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. <strong><span style="color: #b30077;">nucleic<span style='font-size: 1px; color: white;'>center</span>acids</span></strong><span style='font-size: 1px; color: white;'>yellow</span></div>	Incorrect	<div id="drv_ec5b" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. <strong><span style="color: #009900;">proteins</span></strong><span style='font-size: 1px; color: white;'>used</span></div>	Incorrect
MC	<p>2864_ee44</p> <div id="drv_66ad" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><p>Which<span style='font-size: 1px; color: white;'>french</span>one<span style='font-size: 1px; color: white;'>yeast</span>of<span style='font-size: 1px; color: white;'>her</span>the<span style='font-size: 1px; color: white;'>manual</span>following types of<span style='font-size: 1px; color: white;'>about</span>macromolecules<span style='font-size: 1px; color: white;'>triose</span>correspond<span style='font-size: 1px; color: white;'>brings</span>to<span style='font-size: 1px; color: white;'>tenure</span>the<span style='font-size: 1px; color: white;'>forced</span>macromolecule <span style='font-size: 1em;'><strong>'cytidine'</strong></span>.</p><span style='font-size: 1px; color: white;'>dfirst</span></div>	<div id="drv_05b5" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. <strong><span style="color: #0039e6;">carbohydrates</span></strong><span style='font-size: 1px; color: white;'>thus</span></div>	Incorrect	<div id="drv_2e3f" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. <strong><span style="color: #e65400;">lipids</span></strong> </div>	Incorrect	<div id="drv_9a52" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. <strong><span style="color: #b30077;">nucleic<span style='font-size: 1px; color: white;'>apples</span>acids</span></strong><span style='font-size: 1px; color: white;'>sides</span></div>	Correct	<div id="drv_a2ac" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. <strong><span style="color: #009900;">proteins</span></strong> </div>	Incorrect
MC	<p>30fb_ee44</p> <div id="drv_758e" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><p>Which one<span style='font-size: 1px; color: white;'>apples</span>of the<span style='font-size: 1px; color: white;'>down</span>following<span style='font-size: 1px; color: white;'>bodys</span>types<span style='font-size: 1px; color: white;'>only</span>of<span style='font-size: 1px; color: white;'>closer</span>macromolecules<span style='font-size: 1px; color: white;'>fight</span>correspond<span style='font-size: 1px; color: white;'>host</span>to the<span style='font-size: 1px; color: white;'>fibers</span>macromolecule <span style='font-size: 1em;'><strong>'tyrosine'</strong></span>.</p> </div>	<div id="drv_0f32" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. <strong><span style="color: #0039e6;">carbohydrates</span></strong><span style='font-size: 1px; color: white;'>way</span></div>	Incorrect	<div id="drv_f202" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. <strong><span style="color: #e65400;">lipids</span></strong> </div>	Incorrect	<div id="drv_a592" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. <strong><span style="color: #b30077;">nucleic<span style='font-size: 1px; color: white;'>after</span>acids</span></strong><span style='font-size: 1px; color: white;'>become</span></div>	Incorrect	<div id="drv_a2cb" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. <strong><span style="color: #009900;">proteins</span></strong><span style='font-size: 1px; color: white;'>pnum</span></div>	Correct
