MC	<p>cc37_5a3c</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	In general, an increase in disorder or randomness corresponds to an increase in <strong><span style="color: #b77b04;">entropy</span></strong>.	Incorrect	Kinetics is only determined by the <strong><span style="color: #0078a3;"><strong><span style="color: #0078a3;">enthalpy</span></strong></span></strong> change of a <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong>.	Correct	Enzymes do<strong> <strong>NOT</strong> </strong>change the <strong><span style="color: #478d1b;">equilibrium</span></strong> constant (K&prime;<sub>eq</sub>) of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Enzymes are<strong> <strong>NOT</strong> </strong>consumed by the <strong><span style="color: #008a75;">reaction</span></strong> they catalyze.	Incorrect	The first law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> states that energy is conserved and cannot be created or destroyed.	Incorrect
MC	<p>8cc4_98e2</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Thermodynamics tells us how fast <strong><span style="color: #478d1b;">equilibrium</span></strong> is approached.	Incorrect	Enzymes are consumed by the <strong><span style="color: #008a75;">reaction</span></strong> they catalyze and must continually be replaced.	Incorrect	Enzymes change the <strong><span style="color: #478d1b;">equilibrium</span></strong> constant (K&prime;<sub>eq</sub>) of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	In general, more disorder means less <strong><span style="color: #b77b04;">entropy</span></strong>.	Incorrect	The first law of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong> states that energy is conserved and cannot be created or destroyed.	Correct
MC	<p>4b31_4248</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong>?</p>	The first law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> states that energy is conserved and cannot be created or destroyed.	Incorrect	The change in Gibbs free energy (&Delta;G) of a <strong><span style="color: #008a75;">reaction</span></strong> is related to the <strong><span style="color: #0078a3;">enthalpy</span></strong> and <strong><span style="color: #b77b04;">entropy</span></strong> changes of the <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Dehydration <strong><span style="color: #008a75;">reaction</span></strong>s often lead to a decrease in the <strong><span style="color: #b77b04;">entropy</span></strong> of the products.	Incorrect	A <strong><span style="color: #008a75;">reaction</span></strong> is spontaneous if the standard change in free energy (&Delta;G&deg;&prime;) is negative.	Incorrect	Kinetics tells us the <strong><span style="color: #478d1b;"><strong><span style="color: #478d1b;">equilibrium</span></strong></span></strong> point.	Correct
MC	<p>215c_823e</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	In general, more disorder means less <strong><span style="color: #b77b04;">entropy</span></strong>.	Incorrect	The second law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> states that the <strong><span style="color: #b77b04;">entropy</span></strong> of a closed system always decreases.	Incorrect	The <strong><span style="color: #bb5d00;">thermodynamics</span></strong> of a <strong><span style="color: #008a75;">reaction</span></strong> is independent of temperature.	Incorrect	Enzymes change the <strong><span style="color: #008a75;">reaction</span></strong> <strong><span style="color: #bb5d00;">thermodynamics</span></strong>.	Incorrect	Thermodynamics describes the <strong><span style="color: #478d1b;"><strong><span style="color: #478d1b;">equilibrium</span></strong></span></strong> point of a <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong>.	Correct
MC	<p>2f06_668c</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Hydrolysis <strong><span style="color: #008a75;">reaction</span></strong>s often lead to an increase in the <strong><span style="color: #b77b04;">entropy</span></strong> of the products.	Incorrect	The first law of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong> states that the total <strong><span style="color: #b77b04;"><strong><span style="color: #b77b04;">entropy</span></strong></span></strong> of a closed system will always increase.	Correct	Thermodynamics determines the direction a <strong><span style="color: #008a75;">reaction</span></strong> will proceed under specific conditions.	Incorrect	Kinetics describes the rate at which a <strong><span style="color: #008a75;">reaction</span></strong> approaches <strong><span style="color: #478d1b;">equilibrium</span></strong>.	Incorrect	Enzymes lower the activation energy, which affects the <strong><span style="color: #008a75;">reaction</span></strong> <strong><span style="color: #56225d;">kinetics</span></strong>.	Incorrect
MC	<p>f498_978f</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong>?</p>	Thermodynamics tells us how fast <strong><span style="color: #478d1b;">equilibrium</span></strong> is approached.	Incorrect	Enzymes are<strong> <strong>NOT</strong> </strong>essential for most biochemical <strong><span style="color: #008a75;">reaction</span></strong>s.	Incorrect	Enzymes do<strong> <strong>NOT</strong> </strong>change the standard change in free energy (&Delta;G&deg;&prime;) of a <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong>.	Correct	The second law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> states that the <strong><span style="color: #b77b04;">entropy</span></strong> of a closed system always decreases.	Incorrect	In general, more disorder means less <strong><span style="color: #b77b04;">entropy</span></strong>.	Incorrect
MC	<p>f498_b253</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong>?</p>	Kinetics depends only on the ratio of product and substrates.	Incorrect	Thermodynamics determines the rate of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Kinetics is unaffected by <strong><span style="color: #cc2489;">enzymes</span></strong>.	Incorrect	The second law of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong> states that the total <strong><span style="color: #b77b04;"><strong><span style="color: #b77b04;">entropy</span></strong></span></strong> of a closed system will always increase.	Correct	Kinetics is determined by a combination of <strong><span style="color: #0078a3;">enthalpy</span></strong> and <strong><span style="color: #b77b04;">entropy</span></strong>.	Incorrect
MC	<p>999f_82dc</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Enzymes change the <strong><span style="color: #478d1b;">equilibrium</span></strong> point.	Incorrect	Kinetics depends only on the ratio of product and substrates.	Incorrect	In general, more order means more <strong><span style="color: #b77b04;">entropy</span></strong>.	Incorrect	Enzymes change the Gibbs free energy (&Delta;G) of the <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	The second law of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong> states that the total <strong><span style="color: #b77b04;"><strong><span style="color: #b77b04;">entropy</span></strong></span></strong> of a closed system will always increase.	Correct
MC	<p>8f9f_5454</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	The <strong><span style="color: #478d1b;"><strong><span style="color: #478d1b;">equilibrium</span></strong></span></strong> constant (K&prime;<sub>eq</sub>) of a <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong> is related to the activation energy.	Correct	Enzymes increase or decrease the rate of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Kinetics describes the rate at which a <strong><span style="color: #008a75;">reaction</span></strong> approaches <strong><span style="color: #478d1b;">equilibrium</span></strong>.	Incorrect	Enzymes do<strong> <strong>NOT</strong> </strong>change the <strong><span style="color: #478d1b;">equilibrium</span></strong> constant (K&prime;<sub>eq</sub>) of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	The change in Gibbs free energy (&Delta;G) of a <strong><span style="color: #008a75;">reaction</span></strong> is related to the <strong><span style="color: #0078a3;">enthalpy</span></strong> and <strong><span style="color: #b77b04;">entropy</span></strong> changes of the <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect
MC	<p>7a3d_2b38</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong>?</p>	In general, more order means more <strong><span style="color: #b77b04;">entropy</span></strong>.	Incorrect	Enzymes change the <strong><span style="color: #478d1b;">equilibrium</span></strong> constant (K&prime;<sub>eq</sub>) of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Enzymes change the rate of a <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong>.	Correct	The third law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> states that the <strong><span style="color: #b77b04;">entropy</span></strong> of a system is conserved.	Incorrect	Kinetics tells us the <strong><span style="color: #478d1b;">equilibrium</span></strong> point.	Incorrect
MC	<p>8fd9_f854</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Enzymes are consumed by the <strong><span style="color: #008a75;">reaction</span></strong> they catalyze and must continually be replaced.	Incorrect	The <strong><span style="color: #bb5d00;">thermodynamics</span></strong> of a <strong><span style="color: #008a75;">reaction</span></strong> is independent of temperature.	Incorrect	The first law of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong> states that energy is conserved and cannot be created or destroyed.	Correct	Thermodynamics tells us how fast <strong><span style="color: #478d1b;">equilibrium</span></strong> is approached.	Incorrect	Kinetics depends only on the concentration of reactants.	Incorrect
