MC	<p>90d3_4744</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong>?</p>	They block the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">molecules</span></strong></span></strong> from crossing the membrane	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect	They provide <strong><span style="color: #c80085;">enzymatic&nbsp;activity</span></strong> for certain chemical reactions	Incorrect	They recognize and bind to other <strong><span style="color: #935d00;">cells</span></strong> or <strong><span style="color: #3b7600;">substances</span></strong>	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the cytoskeleton to the plasma membrane	Incorrect
MC	<p>4147_9c40</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	They tightly attach the cytoskeleton to the extracellular matrix (ECM)	Incorrect	They receive <strong><span style="color: #935d00;">cell </span></strong>signals and transduce them across the membrane	Incorrect	They are responsible for separating the interior of the <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">cell </span></strong></span></strong>from its external environment	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	They provide a hydrophilic channel for certain <strong><span style="color: #076dad;">molecules</span></strong> or ions to use as a tunnel	Incorrect
MC	<p>e93f_e34b</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong>?</p>	They are responsible for separating the interior of the <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">cell </span></strong></span></strong>from its external environment	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> serve as channels, pumps, or receptors	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the cytoskeleton to the plasma membrane	Incorrect	They receive <strong><span style="color: #935d00;">cell </span></strong>signals and transduce them across the membrane	Incorrect
MC	<p>3e7e_9e09</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong>?</p>	They provide <strong><span style="color: #c80085;">enzymatic&nbsp;activity</span></strong> for certain chemical reactions	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect	Carbohydrates covantly attached to <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> allow <strong><span style="color: #935d00;">cells</span></strong> to recognize eachother	Incorrect	They receive <strong><span style="color: #935d00;">cell </span></strong>signals and transduce them across the membrane	Incorrect	They block the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">molecules</span></strong></span></strong> from crossing the membrane	Correct
MC	<p>8a90_cc2c</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong>?</p>	They receive <strong><span style="color: #935d00;">cell </span></strong>signals and transduce them across the membrane	Incorrect	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect	They are responsible for separating the interior of the <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">cell </span></strong></span></strong>from its external environment	Correct	They tightly attach the cytoskeleton to the extracellular matrix (ECM)	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> serve as channels, pumps, or receptors	Incorrect
MC	<p>e93f_dc92</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong>?</p>	Carbohydrates covantly attached to <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> allow <strong><span style="color: #935d00;">cells</span></strong> to recognize eachother	Incorrect	They block the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">molecules</span></strong></span></strong> from crossing the membrane	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect	They provide <strong><span style="color: #c80085;">enzymatic&nbsp;activity</span></strong> for certain chemical reactions	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect
MC	<p>acee_72f7</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong>?</p>	They recognize and bind to other <strong><span style="color: #935d00;">cells</span></strong> or <strong><span style="color: #3b7600;">substances</span></strong>	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the cytoskeleton to the plasma membrane	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	They prevent the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #3b7600;"><strong><span style="color: #3b7600;">substances</span></strong></span></strong> across the membrane	Correct
MC	<p>0e95_dd71</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong>?</p>	They recognize and bind to other <strong><span style="color: #935d00;">cells</span></strong> or <strong><span style="color: #3b7600;">substances</span></strong>	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect	They prevent the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #3b7600;"><strong><span style="color: #3b7600;">substances</span></strong></span></strong> across the membrane	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the cytoskeleton to the plasma membrane	Incorrect
MC	<p>1b98_cb33</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	They block the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">molecules</span></strong></span></strong> from crossing the membrane	Correct	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect	They recognize and bind to other <strong><span style="color: #935d00;">cells</span></strong> or <strong><span style="color: #3b7600;">substances</span></strong>	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect
MC	<p>c677_6d28</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong>?</p>	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the cytoskeleton to the plasma membrane	Incorrect	They receive <strong><span style="color: #935d00;">cell </span></strong>signals and transduce them across the membrane	Incorrect	They recognize and bind to other <strong><span style="color: #935d00;">cells</span></strong> or <strong><span style="color: #3b7600;">substances</span></strong>	Incorrect	They prevent the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #3b7600;"><strong><span style="color: #3b7600;">substances</span></strong></span></strong> across the membrane	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect
MC	<p>60d1_7429</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong>?</p>	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the extracellular matrix (ECM) to the plasma membrane	Incorrect	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect	They are responsible for separating the interior of the <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">cell </span></strong></span></strong>from its external environment	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect
