MAT	<p>ec8a_b95a</p> <p>Match each of the following alterations to <strong><span style="color: #008672;">chromosome</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #993e0e;">deletion</span>	<strong><span style="color: #008672;">chromosome</span></strong> in which is missing a group of <strong><span style="color: #43861a;">genes</span></strong>	<span style="color: #466a1d;">non-disjunction</span>	the failure of sister chromatids to separate properly during cell division	<span style="color: #883b85;">Robertsonian translocation</span>	fusion of two <strong><span style="color: #008672;">chromosome</span></strong>s that have short p arms	<span style="color: #745a12;">duplications</span>	can result from <strong><span style="color: #a16c04;">genes</span></strong> recombination where a part of a <strong><span style="color: #008672;">chromosome</span></strong> is replicated	<span style="color: #006980;">non-reciprocal translocation</span>	a complete <strong><span style="color: #008672;">chromosome</span></strong> that also has a group of <strong><span style="color: #43861a;">genes</span></strong> from another <strong><span style="color: #008672;">chromosome</span></strong>
MAT	<p>ec8a_4607</p> <p>Match each of the following alterations to <strong><span style="color: #008672;">chromosome</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #973562;">Robertsonian translocation</span>	fusion of two <strong><span style="color: #008672;">chromosome</span></strong>s that have short p arms	<span style="color: #636205;">deletion</span>	portion of the <strong><span style="color: #008672;">chromosome</span></strong> is missing	<span style="color: #11703c;">non-disjunction</span>	the failure of sister chromatids to separate properly during cell division	<span style="color: #7838b1;">reciprocal translocation</span>	can change a metacentric <strong><span style="color: #008672;">chromosome</span></strong> into a submetacentric <strong><span style="color: #008672;">chromosome</span></strong>	<span style="color: #006b6e;">non-reciprocal translocation</span>	a complete <strong><span style="color: #008672;">chromosome</span></strong> that also has a group of <strong><span style="color: #43861a;">genes</span></strong> from another <strong><span style="color: #008672;">chromosome</span></strong>
MAT	<p>ec8a_bf2d</p> <p>Match each of the following alterations to <strong><span style="color: #008672;">chromosome</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #874f00;">deletion</span>	a part of a <strong><span style="color: #008672;">chromosome</span></strong> is left out during DNA replication	<span style="color: #973562;">Robertsonian translocation</span>	can change two acrocentric <strong><span style="color: #008672;">chromosome</span></strong>s into a metacentric <strong><span style="color: #008672;">chromosome</span></strong>	<span style="color: #066d5a;">non-reciprocal translocation</span>	a complete <strong><span style="color: #008672;">chromosome</span></strong> that also has a group of <strong><span style="color: #43861a;">genes</span></strong> from another <strong><span style="color: #008672;">chromosome</span></strong>	<span style="color: #534abf;">paracentric inversion</span>	two breaks and <strong><span style="color: #56225d;">reversal</span></strong> of the <strong><span style="color: #43861a;">genes</span></strong> occur on one arm of the <strong><span style="color: #008672;">chromosome</span></strong>	<span style="color: #636205;">non-disjunction</span>	the failure of homologous <strong><span style="color: #008672;">chromosome</span></strong>s to separate properly during cell division
MAT	<p>ec8a_bf73</p> <p>Match each of the following alterations to <strong><span style="color: #008672;">chromosome</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #7838b1;">pericentric inversion</span>	includes the <strong><span style="color: #c1480a;">centromere</span></strong> and there is a break point in each arm	<span style="color: #11703c;">duplications</span>	portion of the <strong><span style="color: #008672;">chromosome</span></strong> has been copied, resulting extra copies of a gene	<span style="color: #006b6e;">non-disjunction</span>	the failure of homologous <strong><span style="color: #008672;">chromosome</span></strong>s to separate properly during cell division	<span style="color: #993e0e;">deletion</span>	portion of the <strong><span style="color: #008672;">chromosome</span></strong> is missing	<span style="color: #973562;">reciprocal translocation</span>	can change a metacentric <strong><span style="color: #008672;">chromosome</span></strong> into a submetacentric <strong><span style="color: #008672;">chromosome</span></strong>
MAT	<p>ec8a_7848</p> <p>Match each of the following alterations to <strong><span style="color: #008672;">chromosome</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #466a1d;">non-disjunction</span>	the failure of homologous <strong><span style="color: #008672;">chromosome</span></strong>s to separate properly during cell division	<span style="color: #7838b1;">reciprocal translocation</span>	two detached fragments of two different <strong><span style="color: #008672;">chromosome</span></strong>s are switched	<span style="color: #745a12;">duplications</span>	portion of the <strong><span style="color: #008672;">chromosome</span></strong> has been copied, resulting extra copies of a gene	<span style="color: #1d6490;">pericentric inversion</span>	a portion of a <strong><span style="color: #008672;">chromosome</span></strong> that includes both arms has broken off, turned upside down, and reattached	<span style="color: #006b6e;">non-reciprocal translocation</span>	the one-way transfer of a chromosomal segment from one non-homologous <strong><span style="color: #008672;">chromosome</span></strong> to another
MAT	<p>ec8a_1455</p> <p>Match each of the following alterations to <strong><span style="color: #008672;">chromosome</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #006b6e;">non-disjunction</span>	the failure of homologous <strong><span style="color: #008672;">chromosome</span></strong>s to separate properly during cell division	<span style="color: #973562;">reciprocal translocation</span>	can change a metacentric <strong><span style="color: #008672;">chromosome</span></strong> into a submetacentric <strong><span style="color: #008672;">chromosome</span></strong>	<span style="color: #636205;">duplications</span>	portion of the <strong><span style="color: #008672;">chromosome</span></strong> has been copied, resulting in extra genetic material	<span style="color: #1d6490;">non-reciprocal translocation</span>	the transferring of a <strong><span style="color: #008672;">chromosome</span></strong> segment from one <strong><span style="color: #008672;">chromosome</span></strong> to another non-homologous <strong><span style="color: #008672;">chromosome</span></strong>	<span style="color: #993e0e;">deletion</span>	<strong><span style="color: #008672;">chromosome</span></strong> in which is missing a group of <strong><span style="color: #43861a;">genes</span></strong>
MAT	<p>ec8a_d12b</p> <p>Match each of the following alterations to <strong><span style="color: #008672;">chromosome</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #006b6e;">non-reciprocal translocation</span>	the transferring of a <strong><span style="color: #008672;">chromosome</span></strong> segment from one <strong><span style="color: #008672;">chromosome</span></strong> to another non-homologous <strong><span style="color: #008672;">chromosome</span></strong>	<span style="color: #993e0e;">deletion</span>	can result from <strong><span style="color: #a16c04;">genes</span></strong> recombination where a part of a <strong><span style="color: #008672;">chromosome</span></strong> is lost	<span style="color: #335ca5;">paracentric inversion</span>	can change two monocentric <strong><span style="color: #008672;">chromosome</span></strong>s into an acentric <strong><span style="color: #008672;">chromosome</span></strong>	<span style="color: #745a12;">duplications</span>	<strong><span style="color: #008672;">chromosome</span></strong> that has an extra copy of a group of <strong><span style="color: #43861a;">genes</span></strong>	<span style="color: #7838b1;">reciprocal translocation</span>	can change a metacentric <strong><span style="color: #008672;">chromosome</span></strong> into a submetacentric <strong><span style="color: #008672;">chromosome</span></strong>
MAT	<p>ec8a_5560</p> <p>Match each of the following alterations to <strong><span style="color: #008672;">chromosome</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #636205;">duplications</span>	portion of the <strong><span style="color: #008672;">chromosome</span></strong> has been copied, resulting in extra genetic material	<span style="color: #006980;">reciprocal translocation</span>	the Philadelphia <strong><span style="color: #008672;">chromosome</span></strong> is formed from this alteration of <strong><span style="color: #008672;">chromosome</span></strong>s 9 and 22	<span style="color: #993e0e;">deletion</span>	portion of the <strong><span style="color: #008672;">chromosome</span></strong> is missing	<span style="color: #066d5a;">non-reciprocal translocation</span>	a complete <strong><span style="color: #008672;">chromosome</span></strong> that also has a group of <strong><span style="color: #43861a;">genes</span></strong> from another <strong><span style="color: #008672;">chromosome</span></strong>	<span style="color: #7838b1;">Robertsonian translocation</span>	in humans, these alterations only occur with <strong><span style="color: #008672;">chromosome</span></strong>s 13, 14, 15, 21, and 22
MAT	<p>ec8a_c427</p> <p>Match each of the following alterations to <strong><span style="color: #008672;">chromosome</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #745a12;">non-reciprocal translocation</span>	a complete <strong><span style="color: #008672;">chromosome</span></strong> that also has a group of <strong><span style="color: #43861a;">genes</span></strong> from another <strong><span style="color: #008672;">chromosome</span></strong>	<span style="color: #466a1d;">paracentric inversion</span>	two breaks and <strong><span style="color: #56225d;">reversal</span></strong> of the <strong><span style="color: #43861a;">genes</span></strong> occur on one arm of the <strong><span style="color: #008672;">chromosome</span></strong>	<span style="color: #066d5a;">pericentric inversion</span>	<strong><span style="color: #c1480a;">centromere</span></strong> is included in the <strong><span style="color: #56225d;">reverse</span></strong>d loop that is formed during synapsis	<span style="color: #a42b33;">non-disjunction</span>	the failure of homologous <strong><span style="color: #008672;">chromosome</span></strong>s to separate properly during cell division	<span style="color: #7838b1;">Robertsonian translocation</span>	caused by breaks at or near the <strong><span style="color: #c1480a;">centromere</span></strong>s of two acrocentric <strong><span style="color: #008672;">chromosome</span></strong>s
MAT	<p>ec8a_33ce</p> <p>Match each of the following alterations to <strong><span style="color: #008672;">chromosome</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #466a1d;">paracentric inversion</span>	a portion of a single <strong><span style="color: #008672;">chromosome</span></strong> arm has broken off, turned upside down, and reattached	<span style="color: #883b85;">Robertsonian translocation</span>	can change two acrocentric <strong><span style="color: #008672;">chromosome</span></strong>s into a metacentric <strong><span style="color: #008672;">chromosome</span></strong>	<span style="color: #874f00;">non-reciprocal translocation</span>	a complete <strong><span style="color: #008672;">chromosome</span></strong> that also has a group of <strong><span style="color: #43861a;">genes</span></strong> from another <strong><span style="color: #008672;">chromosome</span></strong>	<span style="color: #534abf;">pericentric inversion</span>	a pair of homologous <strong><span style="color: #008672;">chromosome</span></strong>s that both have duplicated <strong><span style="color: #43861a;">genes</span></strong> and missing <strong><span style="color: #43861a;">genes</span></strong>	<span style="color: #a42b33;">duplications</span>	can result from <strong><span style="color: #a16c04;">genes</span></strong> recombination where a part of a <strong><span style="color: #008672;">chromosome</span></strong> is replicated
MAT	<p>ec8a_6553</p> <p>Match each of the following alterations to <strong><span style="color: #008672;">chromosome</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #745a12;">duplications</span>	portion of the <strong><span style="color: #008672;">chromosome</span></strong> has been copied, resulting in extra genetic material	<span style="color: #066d5a;">non-disjunction</span>	the failure of homologous <strong><span style="color: #008672;">chromosome</span></strong>s to separate properly during cell division	<span style="color: #973562;">Robertsonian translocation</span>	caused by breaks at or near the <strong><span style="color: #c1480a;">centromere</span></strong>s of two acrocentric <strong><span style="color: #008672;">chromosome</span></strong>s	<span style="color: #006980;">non-reciprocal translocation</span>	a complete <strong><span style="color: #008672;">chromosome</span></strong> that also has a group of <strong><span style="color: #43861a;">genes</span></strong> from another <strong><span style="color: #008672;">chromosome</span></strong>	<span style="color: #335ca5;">paracentric inversion</span>	can change two monocentric <strong><span style="color: #008672;">chromosome</span></strong>s into an acentric <strong><span style="color: #008672;">chromosome</span></strong>
MAT	<p>ec8a_ca01</p> <p>Match each of the following alterations to <strong><span style="color: #008672;">chromosome</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #534abf;">Robertsonian translocation</span>	in humans, these alterations only occur with <strong><span style="color: #008672;">chromosome</span></strong>s 13, 14, 15, 21, and 22	<span style="color: #11703c;">non-disjunction</span>	the failure of sister chromatids to separate properly during cell division	<span style="color: #006b6e;">paracentric inversion</span>	the <strong><span style="color: #56225d;">reversal</span></strong> of the gene order within a <strong><span style="color: #008672;">chromosome</span></strong> that does<strong> <strong>NOT</strong> </strong>include the <strong><span style="color: #c1480a;">centromere</span></strong>	<span style="color: #1d6490;">pericentric inversion</span>	the <strong><span style="color: #56225d;">reversal</span></strong> of the gene order in a <strong><span style="color: #008672;">chromosome</span></strong> that includes the <strong><span style="color: #c1480a;">centromere</span></strong>	<span style="color: #636205;">duplications</span>	can result from <strong><span style="color: #a16c04;">genes</span></strong> recombination where a part of a <strong><span style="color: #008672;">chromosome</span></strong> is replicated
MAT	<p>ec8a_465e</p> <p>Match each of the following alterations to <strong><span style="color: #008672;">chromosome</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #534abf;">reciprocal translocation</span>	can change a metacentric <strong><span style="color: #008672;">chromosome</span></strong> into a submetacentric <strong><span style="color: #008672;">chromosome</span></strong>	<span style="color: #006980;">paracentric inversion</span>	can change two monocentric <strong><span style="color: #008672;">chromosome</span></strong>s into a dicentric <strong><span style="color: #008672;">chromosome</span></strong>	<span style="color: #993e0e;">non-disjunction</span>	the failure of sister chromatids to separate properly during cell division	<span style="color: #745a12;">non-reciprocal translocation</span>	the one-way transfer of a chromosomal segment from one non-homologous <strong><span style="color: #008672;">chromosome</span></strong> to another	<span style="color: #973562;">Robertsonian translocation</span>	caused by breaks at or near the <strong><span style="color: #c1480a;">centromere</span></strong>s of two acrocentric <strong><span style="color: #008672;">chromosome</span></strong>s
MAT	<p>ec8a_9f62</p> <p>Match each of the following alterations to <strong><span style="color: #008672;">chromosome</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #466a1d;">pericentric inversion</span>	a portion of a <strong><span style="color: #008672;">chromosome</span></strong> that includes both arms has broken off, <strong><span style="color: #56225d;">reverse</span></strong>d, and reattached	<span style="color: #a42b33;">deletion</span>	<strong><span style="color: #008672;">chromosome</span></strong> in which is missing a group of <strong><span style="color: #43861a;">genes</span></strong>	<span style="color: #066d5a;">reciprocal translocation</span>	a pair of non-homologous <strong><span style="color: #008672;">chromosome</span></strong>s swapping <strong><span style="color: #43861a;">genes</span></strong> with each other	<span style="color: #745a12;">non-disjunction</span>	the failure of sister chromatids to separate properly during cell division	<span style="color: #883b85;">Robertsonian translocation</span>	can change two acrocentric <strong><span style="color: #008672;">chromosome</span></strong>s into a metacentric <strong><span style="color: #008672;">chromosome</span></strong>
MAT	<p>ec8a_28c8</p> <p>Match each of the following alterations to <strong><span style="color: #008672;">chromosome</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #874f00;">paracentric inversion</span>	can result from <strong><span style="color: #a16c04;">genes</span></strong> recombination where a part of a single <strong><span style="color: #008672;">chromosome</span></strong> arm is <strong><span style="color: #56225d;">reverse</span></strong>d	<span style="color: #466a1d;">pericentric inversion</span>	a portion of a <strong><span style="color: #008672;">chromosome</span></strong> that includes both arms has broken off, turned upside down, and reattached	<span style="color: #335ca5;">Robertsonian translocation</span>	can change two acrocentric <strong><span style="color: #008672;">chromosome</span></strong>s into a metacentric <strong><span style="color: #008672;">chromosome</span></strong>	<span style="color: #a42b33;">non-reciprocal translocation</span>	the transferring of a <strong><span style="color: #008672;">chromosome</span></strong> segment from one <strong><span style="color: #008672;">chromosome</span></strong> to another non-homologous <strong><span style="color: #008672;">chromosome</span></strong>	<span style="color: #006b6e;">reciprocal translocation</span>	a pair of non-homologous <strong><span style="color: #008672;">chromosome</span></strong>s swapping <strong><span style="color: #43861a;">genes</span></strong> with each other
