MC	<p>720c_ed57</p> <div id="drv_b827" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><h4>Based on<span style='font-size: 1px; color: white;'>scores</span>their<span style='font-size: 1px; color: white;'>idea</span>molecular<span style='font-size: 1px; color: white;'>donors</span>formula, which one of<span style='font-size: 1px; color: white;'>bfsex</span>the<span style='font-size: 1px; color: white;'>both</span>following<span style='font-size: 1px; color: white;'>keto</span>compounds<span style='font-size: 1px; color: white;'>lower</span>is most likely<span style='font-size: 1px; color: white;'>ratio</span>hydrophobic?</h4><span style='font-size: 1px; color: white;'>clamp</span></div>	<div id="drv_9d4a" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. erythrose, C<sub>4</sub>H<sub>8</sub>O<sub>4</sub><span style='font-size: 1px; color: white;'>unlike</span></div>	Incorrect	<div id="drv_11b7" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. urea, CO(NH<sub>2</sub>)<sub>2</sub><span style='font-size: 1px; color: white;'>bad</span></div>	Incorrect	<div id="drv_e7c0" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. octane, CH<sub>3</sub>(CH<sub>2</sub>)<sub>6</sub>CH<sub>3</sub><span style='font-size: 1px; color: white;'>iiei</span></div>	Correct	<div id="drv_138c" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. methanol, CH<sub>3</sub>OH<span style='font-size: 1px; color: white;'>reduce</span></div>	Incorrect	<div id="drv_13a4" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >E. acetate, C<sub>2</sub>H<sub>3</sub>O<sub>2</sub><span style='font-size: 1px; color: white;'>depend</span></div>	Incorrect
MC	<p>720c_fcfa</p> <div id="drv_47ab" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><h4>Based<span style='font-size: 1px; color: white;'>needed</span>on their<span style='font-size: 1px; color: white;'>always</span>molecular formula, which<span style='font-size: 1px; color: white;'>mass</span>one of the following<span style='font-size: 1px; color: white;'>donkey</span>compounds<span style='font-size: 1px; color: white;'>range</span>is most likely hydrophobic?</h4><span style='font-size: 1px; color: white;'>box</span></div>	<div id="drv_c125" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. octane, CH<sub>3</sub>(CH<sub>2</sub>)<sub>6</sub>CH<sub>3</sub><span style='font-size: 1px; color: white;'>david</span></div>	Correct	<div id="drv_874d" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. urea, CO(NH<sub>2</sub>)<sub>2</sub><span style='font-size: 1px; color: white;'>taking</span></div>	Incorrect	<div id="drv_c486" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. glycerol, C<sub>3</sub>H<sub>8</sub>O<sub>3</sub><span style='font-size: 1px; color: white;'>serum</span></div>	Incorrect	<div id="drv_4e80" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. methanol, CH<sub>3</sub>OH </div>	Incorrect	<div id="drv_ab86" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >E. glycine, NH<sub>2</sub>CH<sub>2</sub>COOH </div>	Incorrect
MC	<p>720c_0dc0</p> <div id="drv_6bc7" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><h4>Based<span style='font-size: 1px; color: white;'>cross</span>on their<span style='font-size: 1px; color: white;'>free</span>molecular<span style='font-size: 1px; color: white;'>toes</span>formula, which<span style='font-size: 1px; color: white;'>tube</span>one<span style='font-size: 1px; color: white;'>amino</span>of<span style='font-size: 1px; color: white;'>still</span>the<span style='font-size: 1px; color: white;'>wider</span>following<span style='font-size: 1px; color: white;'>hiv</span>compounds<span style='font-size: 1px; color: white;'>dimer</span>is<span style='font-size: 1px; color: white;'>change</span>most<span style='font-size: 1px; color: white;'>cases</span>likely<span style='font-size: 1px; color: white;'>frame</span>hydrophobic?</h4> </div>	<div id="drv_077a" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. octane, CH<sub>3</sub>(CH<sub>2</sub>)<sub>6</sub>CH<sub>3</sub><span style='font-size: 1px; color: white;'>uses</span></div>	Correct	<div id="drv_f9fc" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. glucose, C<sub>6</sub>H<sub>12</sub>O<sub>6</sub><span style='font-size: 1px; color: white;'>very</span></div>	Incorrect	<div id="drv_5b55" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. ethanol, CH<sub>3</sub>CH<sub>2</sub>OH<span style='font-size: 1px; color: white;'>pestle</span></div>	Incorrect	<div id="drv_aa0e" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. erythrose, C<sub>4</sub>H<sub>8</sub>O<sub>4</sub><span style='font-size: 1px; color: white;'>remove</span></div>	Incorrect	<div id="drv_397f" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >E. phosphoric<span style='font-size: 1px; color: white;'>are</span>acid, H<sub>3</sub>PO<sub>4</sub><span style='font-size: 1px; color: white;'>actual</span></div>	Incorrect
MC	<p>720c_2cb1</p> <div id="drv_8e0c" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><h4>Based<span style='font-size: 1px; color: white;'>ball</span>on<span style='font-size: 1px; color: white;'>hulu</span>their<span style='font-size: 1px; color: white;'>genes</span>molecular<span style='font-size: 1px; color: white;'>lost</span>formula, which<span style='font-size: 1px; color: white;'>atoms</span>one<span style='font-size: 1px; color: white;'>wagr</span>of the<span style='font-size: 1px; color: white;'>direct</span>following<span style='font-size: 1px; color: white;'>greek</span>compounds<span style='font-size: 1px; color: white;'>differ</span>is<span style='font-size: 1px; color: white;'>eamino</span>most<span style='font-size: 1px; color: white;'>sure</span>likely hydrophobic?</h4><span style='font-size: 1px; color: white;'>next</span></div>	<div id="drv_755d" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. methanol, CH<sub>3</sub>OH<span style='font-size: 1px; color: white;'>names</span></div>	Incorrect	<div id="drv_2350" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. glycerol, C<sub>3</sub>H<sub>8</sub>O<sub>3</sub><span style='font-size: 1px; color: white;'>thin</span></div>	Incorrect	<div id="drv_aeae" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. glycine, NH<sub>2</sub>CH<sub>2</sub>COOH<span style='font-size: 1px; color: white;'>odor</span></div>	Incorrect	<div id="drv_c6f4" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. butane, CH<sub>3</sub>CH<sub>2</sub>CH<sub>2</sub>CH<sub>3</sub><span style='font-size: 1px; color: white;'>truthi</span></div>	Correct	<div id="drv_283f" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >E. acetate, C<sub>2</sub>H<sub>3</sub>O<sub>2</sub><span style='font-size: 1px; color: white;'>risk</span></div>	Incorrect
MC	<p>720c_08fa</p> <div id="drv_ffae" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><h4>Based on<span style='font-size: 1px; color: white;'>spice</span>their molecular<span style='font-size: 1px; color: white;'>areas</span>formula, which one<span style='font-size: 1px; color: white;'>bred</span>of<span style='font-size: 1px; color: white;'>hired</span>the following<span style='font-size: 1px; color: white;'>passed</span>compounds<span style='font-size: 1px; color: white;'>carry</span>is most likely<span style='font-size: 1px; color: white;'>pests</span>hydrophobic?</h4> </div>	<div id="drv_9ca5" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. erythrose, C<sub>4</sub>H<sub>8</sub>O<sub>4</sub><span style='font-size: 1px; color: white;'>block</span></div>	Incorrect	<div id="drv_59cb" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. urea, CO(NH<sub>2</sub>)<sub>2</sub> </div>	Incorrect	<div id="drv_f768" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. phosphoric acid, H<sub>3</sub>PO<sub>4</sub><span style='font-size: 1px; color: white;'>random</span></div>	Incorrect	<div id="drv_6afe" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. cyclohexane, C<sub>6</sub>H<sub>12</sub><span style='font-size: 1px; color: white;'>solid</span></div>	Correct	<div id="drv_e160" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >E. sucrose, C<sub>12</sub>H<sub>22</sub>O<sub>11</sub><span style='font-size: 1px; color: white;'>dollop</span></div>	Incorrect
MC	<p>720c_1936</p> <div id="drv_76c2" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><h4>Based<span style='font-size: 1px; color: white;'>cut</span>on<span style='font-size: 1px; color: white;'>bites</span>their<span style='font-size: 1px; color: white;'>mean</span>molecular formula, which one<span style='font-size: 1px; color: white;'>serine</span>of the<span style='font-size: 1px; color: white;'>ground</span>following<span style='font-size: 1px; color: white;'>etc</span>compounds<span style='font-size: 1px; color: white;'>exon</span>is most<span style='font-size: 1px; color: white;'>growth</span>likely<span style='font-size: 1px; color: white;'>their</span>hydrophobic?</h4><span style='font-size: 1px; color: white;'>next</span></div>	<div id="drv_80e8" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. cyclohexane, C<sub>6</sub>H<sub>12</sub><span style='font-size: 1px; color: white;'>acetyl</span></div>	Correct	<div id="drv_f5e2" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. sucrose, C<sub>12</sub>H<sub>22</sub>O<sub>11</sub><span style='font-size: 1px; color: white;'>reject</span></div>	Incorrect	<div id="drv_994f" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. phosphoric<span style='font-size: 1px; color: white;'>health</span>acid, H<sub>3</sub>PO<sub>4</sub> </div>	Incorrect	<div id="drv_09f5" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. glucose, C<sub>6</sub>H<sub>12</sub>O<sub>6</sub><span style='font-size: 1px; color: white;'>triose</span></div>	Incorrect	<div id="drv_1eed" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >E. ammonia, NH<sub>3</sub> </div>	Incorrect
MC	<p>720c_9937</p> <div id="drv_2a21" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><h4>Based<span style='font-size: 1px; color: white;'>narrow</span>on their<span style='font-size: 1px; color: white;'>amide</span>molecular formula, which one<span style='font-size: 1px; color: white;'>bread</span>of the following<span style='font-size: 1px; color: white;'>how</span>compounds<span style='font-size: 1px; color: white;'>former</span>is<span style='font-size: 1px; color: white;'>plays</span>most likely<span style='font-size: 1px; color: white;'>access</span>hydrophobic?</h4><span style='font-size: 1px; color: white;'>refer</span></div>	<div id="drv_1d33" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. sodium<span style='font-size: 1px; color: white;'>error</span>chloride, NaCl<span style='font-size: 1px; color: white;'>unique</span></div>	Incorrect	<div id="drv_a40b" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. glycerol, C<sub>3</sub>H<sub>8</sub>O<sub>3</sub><span style='font-size: 1px; color: white;'>ovum</span></div>	Incorrect	<div id="drv_6281" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. benzene, C<sub>6</sub>H<sub>6</sub><span style='font-size: 1px; color: white;'>unite</span></div>	Correct	<div id="drv_d7d3" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. ethanol, CH<sub>3</sub>CH<sub>2</sub>OH </div>	Incorrect	<div id="drv_c779" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >E. phosphoric<span style='font-size: 1px; color: white;'>cannot</span>acid, H<sub>3</sub>PO<sub>4</sub><span style='font-size: 1px; color: white;'>gun</span></div>	Incorrect
MC	<p>720c_2e0a</p> <div id="drv_fa78" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><h4>Based<span style='font-size: 1px; color: white;'>users</span>on their<span style='font-size: 1px; color: white;'>gun</span>molecular<span style='font-size: 1px; color: white;'>bgroup</span>formula, which one<span style='font-size: 1px; color: white;'>maud</span>of the<span style='font-size: 1px; color: white;'>actual</span>following compounds<span style='font-size: 1px; color: white;'>yield</span>is most<span style='font-size: 1px; color: white;'>exists</span>likely<span style='font-size: 1px; color: white;'>repeat</span>hydrophobic?</h4><span style='font-size: 1px; color: white;'>raise</span></div>	<div id="drv_5117" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. octane, CH<sub>3</sub>(CH<sub>2</sub>)<sub>6</sub>CH<sub>3</sub><span style='font-size: 1px; color: white;'>equiv</span></div>	Correct	<div id="drv_bf26" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. acetate, C<sub>2</sub>H<sub>3</sub>O<sub>2</sub><span style='font-size: 1px; color: white;'>themip</span></div>	Incorrect	<div id="drv_8ab6" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. urea, CO(NH<sub>2</sub>)<sub>2</sub><span style='font-size: 1px; color: white;'>for</span></div>	Incorrect	<div id="drv_b470" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. ethanol, CH<sub>3</sub>CH<sub>2</sub>OH<span style='font-size: 1px; color: white;'>link</span></div>	Incorrect	<div id="drv_a2c2" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >E. sucrose, C<sub>12</sub>H<sub>22</sub>O<sub>11</sub><span style='font-size: 1px; color: white;'>mode</span></div>	Incorrect
MC	<p>720c_cfb9</p> <div id="drv_e814" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><h4>Based<span style='font-size: 1px; color: white;'>kayak</span>on<span style='font-size: 1px; color: white;'>narrow</span>their molecular<span style='font-size: 1px; color: white;'>acids</span>formula, which<span style='font-size: 1px; color: white;'>maize</span>one<span style='font-size: 1px; color: white;'>adopts</span>of<span style='font-size: 1px; color: white;'>study</span>the<span style='font-size: 1px; color: white;'>has</span>following<span style='font-size: 1px; color: white;'>most</span>compounds<span style='font-size: 1px; color: white;'>alpha</span>is<span style='font-size: 1px; color: white;'>immune</span>most<span style='font-size: 1px; color: white;'>strain</span>likely hydrophobic?</h4><span style='font-size: 1px; color: white;'>group</span></div>	<div id="drv_4ba7" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. glycine, NH<sub>2</sub>CH<sub>2</sub>COOH </div>	Incorrect	<div id="drv_738f" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. water, H<sub>2</sub>O<span style='font-size: 1px; color: white;'>hired</span></div>	Incorrect	<div id="drv_0f05" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. hexane, CH<sub>3</sub>(CH<sub>2</sub>)<sub>4</sub>CH<sub>3</sub> </div>	Correct	<div id="drv_f54f" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. acetate, C<sub>2</sub>H<sub>3</sub>O<sub>2</sub><span style='font-size: 1px; color: white;'>damm</span></div>	Incorrect	<div id="drv_b1c2" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >E. glucose, C<sub>6</sub>H<sub>12</sub>O<sub>6</sub><span style='font-size: 1px; color: white;'>moving</span></div>	Incorrect
MC	<p>720c_e030</p> <div id="drv_7d09" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><h4>Based<span style='font-size: 1px; color: white;'>long</span>on their<span style='font-size: 1px; color: white;'>ztest</span>molecular<span style='font-size: 1px; color: white;'>fibers</span>formula, which<span style='font-size: 1px; color: white;'>aro</span>one<span style='font-size: 1px; color: white;'>events</span>of the<span style='font-size: 1px; color: white;'>relys</span>following<span style='font-size: 1px; color: white;'>traits</span>compounds<span style='font-size: 1px; color: white;'>lauric</span>is<span style='font-size: 1px; color: white;'>female</span>most<span style='font-size: 1px; color: white;'>needle</span>likely<span style='font-size: 1px; color: white;'>allose</span>hydrophobic?</h4><span style='font-size: 1px; color: white;'>truth</span></div>	<div id="drv_4614" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. methanol, CH<sub>3</sub>OH </div>	Incorrect	<div id="drv_2eee" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. phosphoric acid, H<sub>3</sub>PO<sub>4</sub><span style='font-size: 1px; color: white;'>fork</span></div>	Incorrect	<div id="drv_bc03" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. erythrose, C<sub>4</sub>H<sub>8</sub>O<sub>4</sub><span style='font-size: 1px; color: white;'>epsp</span></div>	Incorrect	<div id="drv_aa26" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. sucrose, C<sub>12</sub>H<sub>22</sub>O<sub>11</sub><span style='font-size: 1px; color: white;'>sets</span></div>	Incorrect	<div id="drv_aadb" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >E. propane, CH<sub>3</sub>CH<sub>2</sub>CH<sub>3</sub> </div>	Correct
MC	<p>720c_0c9c</p> <div id="drv_0de2" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><h4>Based on<span style='font-size: 1px; color: white;'>stems</span>their<span style='font-size: 1px; color: white;'>uaa</span>molecular<span style='font-size: 1px; color: white;'>heart</span>formula, which one<span style='font-size: 1px; color: white;'>spike</span>of the<span style='font-size: 1px; color: white;'>chance</span>following compounds<span style='font-size: 1px; color: white;'>apart</span>is<span style='font-size: 1px; color: white;'>bullet</span>most likely<span style='font-size: 1px; color: white;'>acetyl</span>hydrophobic?</h4><span style='font-size: 1px; color: white;'>leads</span></div>	<div id="drv_18af" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. urea, CO(NH<sub>2</sub>)<sub>2</sub><span style='font-size: 1px; color: white;'>coding</span></div>	Incorrect	<div id="drv_991b" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. sodium chloride, NaCl<span style='font-size: 1px; color: white;'>wet</span></div>	Incorrect	<div id="drv_e68c" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. benzene, C<sub>6</sub>H<sub>6</sub> </div>	Correct	<div id="drv_a38e" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. glycine, NH<sub>2</sub>CH<sub>2</sub>COOH<span style='font-size: 1px; color: white;'>step</span></div>	Incorrect	<div id="drv_f4ff" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >E. glucose, C<sub>6</sub>H<sub>12</sub>O<sub>6</sub><span style='font-size: 1px; color: white;'>ease</span></div>	Incorrect
