MAT	<p>45a0_f118</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	The <strong><span style="color: #b74300;">cell</span> </strong>walls rupture due to extreme temperature variations.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	This is laborious manual work that can take several minutes.	<strong><span style="color: #003fff;">French Press</span></strong>	A hydraulic press drives a piston to squeeze the sample through a needle valve.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Consists of a fast-spinning inner rotor with a stationary outer stator to produce shearing forces.
MAT	<p>45a0_3d18</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Spinning rotor blades shear the <strong><span style="color: #b74300;">cell</span> </strong>walls.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	Samples are ground by hand to break apart into small pieces.	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	High pressures are generated using a Z-shaped chamber and a pump.	<strong><span style="color: #6c6c00;">Bead-beating</span></strong>	This technique involves using glass or metal particles to apply gentle abrasion while vortexing them.
MAT	<p>45a0_6731</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Digestion of the <strong><span style="color: #b74300;">cell</span> </strong>wall by chemical reactions.	<strong><span style="color: #3b7600;">Sonication</span></strong>	Shear force from high-frequency waves disrupts <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Handheld device that spins in a tube to smash <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #003fff;">French Press</span></strong>	Cells are forced through a tiny hole by a high-pressure hydraulic piston.
MAT	<p>45a0_f865</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Chemical reactions digest the <strong><span style="color: #b74300;">cell</span> </strong>wall.	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	Cold temperatures form ice crystals, which expand, ultimately causing the <strong><span style="color: #b74300;">cell</span> </strong>wall to rupture.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Handheld device that spins in a tube to smash <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #3b7600;">Sonication</span></strong>	This technique uses the forces of ultrasonic waves to rupture <strong><span style="color: #d40000;">cells</span></strong>.
MAT	<p>45a0_0989</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Consists of a fast-spinning inner rotor with a stationary outer stator to produce shearing forces.	<strong><span style="color: #3b7600;">Sonication</span></strong>	Shear force from high-frequency waves disrupts <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	A Z-shaped interaction chamber and pump work in tandem to exert high pressures on <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	Cells are pulverized through a combination of extreme cold.
MAT	<p>45a0_4156</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #a719db;">High-throughput Homogenizer</span></strong>	An expensive bead-beating machine can process a large number of samples simultaneously in a short time.	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	The <strong><span style="color: #b74300;">cell</span> </strong>walls rupture due to extreme temperature variations.	<strong><span style="color: #003fff;">French Press</span></strong>	A hydraulic piston within a cylinder forces <strong><span style="color: #d40000;">cells</span></strong> through a small hole using high pressure.	<strong><span style="color: #3b7600;">Sonication</span></strong>	Ultrasonic sound energy is used to cause air bubbles in a liquid to implode, damaging the <strong><span style="color: #d40000;">cells</span></strong>.
MAT	<p>45a0_b989</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Shearing forces from spinning blades break <strong><span style="color: #d40000;">cells</span></strong> apart.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Handheld device that spins in a tube to smash <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #6c6c00;">Bead-beating</span></strong>	Small glass or ceramic particles are used to crack open <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Digestion of the <strong><span style="color: #b74300;">cell</span> </strong>wall by chemical reactions.
MAT	<p>45a0_6c9a</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #003fff;">French Press</span></strong>	A hydraulic press drives a piston to squeeze the sample through a needle valve.	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	High pressures are generated using a Z-shaped chamber and a pump.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Spinning rotor blades shear the <strong><span style="color: #b74300;">cell</span> </strong>walls.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Lysozyme is commonly used to digest the <strong><span style="color: #b74300;">cell</span> </strong>wall of gram-positive bacteria.
MAT	<p>45a0_c8cd</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Shearing forces from spinning blades break <strong><span style="color: #d40000;">cells</span></strong> apart.	<strong><span style="color: #6c6c00;">Bead-beating</span></strong>	Small glass or ceramic particles are used to crack open <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Handheld device that spins in a tube to smash <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #003fff;">French Press</span></strong>	Cell suspension is forced through a narrow valve using a hydraulic piston.
MAT	<p>45a0_2597</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #3b7600;">Sonication</span></strong>	This technique applies high-frequency sound waves to shatter <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Lysozyme digests gram-positive bacterial <strong><span style="color: #b74300;">cell</span> </strong>walls.	<strong><span style="color: #003fff;">French Press</span></strong>	Cells are pushed through a small hole using high pressure from a hydraulic piston.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	This is laborious manual work that can take several minutes.
MAT	<p>45a0_9f27</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	A high-pressure pump pushes <strong><span style="color: #d40000;">cells</span></strong> through a Z-shaped interaction chamber.	<strong><span style="color: #003fff;">French Press</span></strong>	Cells are pushed through a small hole using high pressure from a hydraulic piston.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Cells are suspended in buffers containing protein catalysts that digest the <strong><span style="color: #b74300;">cell</span> </strong>wall.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	This is laborious manual work that can take several minutes.
MAT	<p>45a0_6eb5</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Consists of a fast-spinning inner rotor with a stationary outer stator to produce shearing forces.	<strong><span style="color: #3b7600;">Sonication</span></strong>	Cells are disrupted by the shear force and tension caused by high-frequency sound waves.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Handheld cylindrical glass tube and a spinning pestle that has a tight fit within the shaft.	<strong><span style="color: #a719db;">High-throughput Homogenizer</span></strong>	Large numbers of samples are disrupted simultaneously using a bead-beating machine.
MAT	<p>45a0_827f</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	High pressures are generated using a Z-shaped chamber and a pump.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Cells are smashed using a spinning handheld device in a tube.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Consists of a fast-spinning inner rotor with a stationary outer stator to produce shearing forces.	<strong><span style="color: #a719db;">High-throughput Homogenizer</span></strong>	An expensive bead-beating machine can process a large number of samples simultaneously in a short time.
MAT	<p>45a0_fd3c</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Handheld device that spins in a tube to smash <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #6c6c00;">Bead-beating</span></strong>	This technique involves using glass or metal particles to apply gentle abrasion while vortexing them.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	Manual grinding of <strong><span style="color: #d40000;">cells</span></strong> that can take several minutes."	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	Under cold temperatures, the water inside the <strong><span style="color: #d40000;">cells</span></strong> expands into ice, causing the <strong><span style="color: #d40000;">cells</span></strong> to burst open.
MAT	<p>45a0_b03b</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #6c6c00;">Bead-beating</span></strong>	Tiny glass particles are mixed and stirred to a high level of agitation.	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	The <strong><span style="color: #b74300;">cell</span> </strong>walls rupture due to extreme temperature variations.	<strong><span style="color: #3b7600;">Sonication</span></strong>	This technique applies high-frequency sound waves to shatter <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Shearing forces from spinning blades break <strong><span style="color: #d40000;">cells</span></strong> apart.
