MC	<p>7a3d_05ba</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong>?</p>	Enzymes are consumed by the <strong><span style="color: #008a75;">reaction</span></strong> they catalyze and must continually be replaced.	Incorrect	Hydrolysis <strong><span style="color: #008a75;">reaction</span></strong>s tend to decrease <strong><span style="color: #b77b04;">entropy</span></strong> of the products.	Incorrect	Kinetics tells us the <strong><span style="color: #478d1b;">equilibrium</span></strong> point.	Incorrect	The first law of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong> states that energy is conserved and cannot be created or destroyed.	Correct	Kinetics depends only on the concentration of reactants.	Incorrect
MC	<p>ed78_92b8</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong>?</p>	Equilibrium is reached when the rate of the forward and reverse <strong><span style="color: #008a75;">reaction</span></strong>s is equal.	Incorrect	The change in Gibbs free energy (&Delta;G) of a <strong><span style="color: #008a75;">reaction</span></strong> is related to the <strong><span style="color: #0078a3;">enthalpy</span></strong> and <strong><span style="color: #b77b04;">entropy</span></strong> changes of the <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Dehydration <strong><span style="color: #008a75;">reaction</span></strong>s often lead to a decrease in the <strong><span style="color: #b77b04;">entropy</span></strong> of the products.	Incorrect	Enzymes change the <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong> <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong>.	Correct	Thermodynamics determines the direction a <strong><span style="color: #008a75;">reaction</span></strong> will proceed under specific conditions.	Incorrect
MC	<p>a79d_3874</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	The first law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> states that energy is conserved and cannot be created or destroyed.	Incorrect	Enzymes do<strong> <strong>NOT</strong> </strong>change the overall change in free energy (&Delta;G) of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	The <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong> of a <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong> is independent of temperature.	Correct	Enzymes change the rate of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Hydrolysis <strong><span style="color: #008a75;">reaction</span></strong>s often lead to an increase in the <strong><span style="color: #b77b04;">entropy</span></strong> of the products.	Incorrect
MC	<p>b3fe_9120</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	The first law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> states that energy is conserved and cannot be created or destroyed.	Incorrect	A <strong><span style="color: #008a75;">reaction</span></strong> is spontaneous if the standard change in free energy (&Delta;G&deg;&prime;) is negative.	Incorrect	In general, an increase in disorder or randomness corresponds to an increase in <strong><span style="color: #b77b04;">entropy</span></strong>.	Incorrect	Enzymes change the rate of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Thermodynamics tells us how fast <strong><span style="color: #478d1b;"><strong><span style="color: #478d1b;">equilibrium</span></strong></span></strong> is approached.	Correct
MC	<p>dd82_fdc3</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong>?</p>	The activation energy of a <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong> is related to the concentration of reactants.	Correct	The first law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> states that energy is conserved and cannot be created or destroyed.	Incorrect	Equilibrium is reached when the rate of the forward and reverse <strong><span style="color: #008a75;">reaction</span></strong>s is equal.	Incorrect	Enzymes alter the <strong><span style="color: #008a75;">reaction</span></strong> <strong><span style="color: #56225d;">kinetics</span></strong> by lowering the activation energy.	Incorrect	Thermodynamics is determined by the combination of <strong><span style="color: #0078a3;">enthalpy</span></strong> and <strong><span style="color: #b77b04;">entropy</span></strong> of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect
MC	<p>8cc4_8d27</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Dehydration <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong>s often lead to a decrease in the <strong><span style="color: #b77b04;"><strong><span style="color: #b77b04;">entropy</span></strong></span></strong> of the products.	Correct	Enzymes change the standard Gibbs free energy change (&Delta;G&deg;&prime;) of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Kinetics is determined by a combination of <strong><span style="color: #0078a3;">enthalpy</span></strong> and <strong><span style="color: #b77b04;">entropy</span></strong>.	Incorrect	Thermodynamics determines the rate of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	The second law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> is the conservation of energy.	Incorrect
MC	<p>a79d_db81</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Enzymes alter the <strong><span style="color: #008a75;">reaction</span></strong> <strong><span style="color: #56225d;">kinetics</span></strong> by lowering the activation energy.	Incorrect	Enzymes do<strong> <strong>NOT</strong> </strong>change the standard change in free energy (&Delta;G&deg;&prime;) of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Hydrolysis <strong><span style="color: #008a75;">reaction</span></strong>s often lead to an increase in the <strong><span style="color: #b77b04;">entropy</span></strong> of the products.	Incorrect	The second law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> states that the total <strong><span style="color: #b77b04;">entropy</span></strong> of a closed system will always increase.	Incorrect	The rate of a <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong> is independent of temperature.	Correct
MC	<p>7a3d_d2f2</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong>?</p>	Hydrolysis <strong><span style="color: #008a75;">reaction</span></strong>s tend to decrease <strong><span style="color: #b77b04;">entropy</span></strong> of the products.	Incorrect	The <strong><span style="color: #bb5d00;">thermodynamics</span></strong> of a <strong><span style="color: #008a75;">reaction</span></strong> is independent of temperature.	Incorrect	Enzymes are consumed by the <strong><span style="color: #008a75;">reaction</span></strong> they catalyze and must continually be replaced.	Incorrect	The second law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> states that the <strong><span style="color: #b77b04;">entropy</span></strong> of a closed system always decreases.	Incorrect	Enzymes do<strong> <strong>NOT</strong> </strong>change the <strong><span style="color: #478d1b;"><strong><span style="color: #478d1b;">equilibrium</span></strong></span></strong> constant (K&prime;<sub>eq</sub>) of a <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong>.	Correct
MC	<p>3489_b105</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Kinetics tells us the <strong><span style="color: #478d1b;">equilibrium</span></strong> point.	Incorrect	A <strong><span style="color: #008a75;">reaction</span></strong> can proceed spontaneously even if the standard Gibbs free energy change (&Delta;G&deg;&prime;) is positive.	Incorrect	Kinetics is determined by a combination of <strong><span style="color: #0078a3;">enthalpy</span></strong> and <strong><span style="color: #b77b04;">entropy</span></strong>.	Incorrect	Enzymes are<strong> <strong>NOT</strong> </strong>consumed by the <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong> they catalyze.	Correct	Enzymes change the standard Gibbs free energy change (&Delta;G&deg;&prime;) of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect
MC	<p>dd82_9185</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong>?</p>	Dehydration <strong><span style="color: #008a75;">reaction</span></strong>s often lead to a decrease in the <strong><span style="color: #b77b04;">entropy</span></strong> of the products.	Incorrect	Thermodynamics is determined by the combination of <strong><span style="color: #0078a3;">enthalpy</span></strong> and <strong><span style="color: #b77b04;">entropy</span></strong> of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	The second law of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong> states that the <strong><span style="color: #b77b04;"><strong><span style="color: #b77b04;">entropy</span></strong></span></strong> of a closed system always decreases.	Correct	The <strong><span style="color: #478d1b;">equilibrium</span></strong> constant (K&prime;<sub>eq</sub>) is related to the standard change in free energy (&Delta;G&deg;&prime;) of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Thermodynamics determines the direction a <strong><span style="color: #008a75;">reaction</span></strong> will proceed under specific conditions.	Incorrect
MC	<p>ed78_50e5</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong>?</p>	Enzymes change the Gibbs free energy (&Delta;G) of the <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong>.	Correct	Thermodynamics is determined by the combination of <strong><span style="color: #0078a3;">enthalpy</span></strong> and <strong><span style="color: #b77b04;">entropy</span></strong> of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	The first law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> states that energy is conserved and cannot be created or destroyed.	Incorrect	Thermodynamics determines the direction a <strong><span style="color: #008a75;">reaction</span></strong> will proceed under specific conditions.	Incorrect	Kinetics describes the rate at which a <strong><span style="color: #008a75;">reaction</span></strong> approaches <strong><span style="color: #478d1b;">equilibrium</span></strong>.	Incorrect
