MC	<p>1b98_43c7</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect	They block the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">molecules</span></strong></span></strong> from crossing the membrane	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the cytoskeleton to the plasma membrane	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect
MC	<p>1b98_61fc</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the extracellular matrix (ECM) to the plasma membrane	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	They are responsible for separating the interior of the <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">cell </span></strong></span></strong>from its external environment	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect
MC	<p>71c3_fec4</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	They are responsible for separating the interior of the <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">cell </span></strong></span></strong>from its external environment	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect	They tightly attach the cytoskeleton to the extracellular matrix (ECM)	Incorrect	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> serve as channels, pumps, or receptors	Incorrect
MC	<p>3e7e_57cf</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong>?</p>	They provide <strong><span style="color: #c80085;">enzymatic&nbsp;activity</span></strong> for certain chemical reactions	Incorrect	They receive <strong><span style="color: #935d00;">cell </span></strong>signals and transduce them across the membrane	Incorrect	Carbohydrates covantly attached to <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> allow <strong><span style="color: #935d00;">cells</span></strong> to recognize eachother	Incorrect	They block the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">molecules</span></strong></span></strong> from crossing the membrane	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the cytoskeleton to the plasma membrane	Incorrect
MC	<p>0e95_0ba3</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong>?</p>	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the cytoskeleton to the plasma membrane	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect	They are responsible for separating the interior of the <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">cell </span></strong></span></strong>from its external environment	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect
MC	<p>4147_a1ab</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	They are responsible for separating the interior of the <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">cell </span></strong></span></strong>from its external environment	Correct	They receive <strong><span style="color: #935d00;">cell </span></strong>signals and transduce them across the membrane	Incorrect	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect	They allow <strong><span style="color: #b74300;">passage</span></strong> of hydrophilic <strong><span style="color: #3b7600;">substances</span></strong> across the membrane	Incorrect	They tightly attach the cytoskeleton to the extracellular matrix (ECM)	Incorrect
MC	<p>0e95_00ed</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong>?</p>	They facilitate <strong><span style="color: #007a00;">transport</span></strong> of <strong><span style="color: #076dad;">molecules</span></strong> across the membrane	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect	They are responsible for separating the interior of the <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">cell </span></strong></span></strong>from its external environment	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the extracellular matrix (ECM) to the plasma membrane	Incorrect
MC	<p>06fc_d408</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong>?</p>	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the extracellular matrix (ECM) to the plasma membrane	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect	They provide <strong><span style="color: #c80085;">enzymatic&nbsp;activity</span></strong> for certain chemical reactions	Incorrect	They prevent the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #3b7600;"><strong><span style="color: #3b7600;">substances</span></strong></span></strong> across the membrane	Correct
MC	<p>4147_e521</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> serve as channels, pumps, or receptors	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the cytoskeleton to the plasma membrane	Incorrect	They are responsible for separating the interior of the <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">cell </span></strong></span></strong>from its external environment	Correct
MC	<p>5342_018c</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong>?</p>	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect	They receive <strong><span style="color: #935d00;">cell </span></strong>signals and transduce them across the membrane	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	They block the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">molecules</span></strong></span></strong> from crossing the membrane	Correct	They recognize and bind to other <strong><span style="color: #935d00;">cells</span></strong> or <strong><span style="color: #3b7600;">substances</span></strong>	Incorrect
MC	<p>f923_1012</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	They receive <strong><span style="color: #935d00;">cell </span></strong>signals and transduce them across the membrane	Incorrect	They provide <strong><span style="color: #c80085;">enzymatic&nbsp;activity</span></strong> for certain chemical reactions	Incorrect	They recognize and bind to other <strong><span style="color: #935d00;">cells</span></strong> or <strong><span style="color: #3b7600;">substances</span></strong>	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the cytoskeleton to the plasma membrane	Incorrect	They prevent the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #3b7600;"><strong><span style="color: #3b7600;">substances</span></strong></span></strong> across the membrane	Correct
